State,Town,Title,K1876,List_K1876,K1882,List_K1882,K1890,List_K1890,C1875,List_C1875,C1890,List_C1890,W1885,List_W1885,W1894,List_W1894,N1890,List_N1890,S1894,List_S1894,A1878,List_A1878,A1882,List_A1882,A1883,List_A1883,A1889,List_A1889,X1870,X1880,X1890,X1900,Latitude,Longitude,LCCN,Start,End,ChronAm
Illinois,Collinsville,Liberal Democrat.,1,Kellogg,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,2887,3498,4021,38.67444444,-89.99527778,NA,NA,NA,0
Illinois,Decatur,Local Review.,1,Kellogg,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,7161,9547,16841,20754,39.84142222,-88.95588056,NA,NA,NA,0
Illinois,Delavan,Times.,1,Kellogg,1,Chicago,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1340,1176,1304,40.37083333,-89.54555556,NA,NA,NA,0
Illinois,Dixon,Sun.,1,Kellogg,1,Chicago,0,NA,1,Chicago,1,Chicago,0,NA,1,Chicago,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,4055,3658,5161,7917,41.84611111,-89.485,NA,NA,NA,0
Illinois,Dwight,Star.,1,Kellogg,1,Chicago,1,Chicago,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1044,1295,1354,2015,41.09305556,-88.42722222,NA,NA,NA,0
Illinois,East St. Louis,St. Clair Tribune.,1,Kellogg,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,5644,9185,15169,29655,38.61666667,-90.13333333,NA,NA,NA,0
Illinois,Edwardsville,Intelligencer.,1,Kellogg,1,Chicago,1,St. Louis,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,2193,2887,3561,4157,38.80388889,-89.95833333,NA,NA,NA,0
Illinois,Edwardsville,Republican.,1,Kellogg,0,NA,0,NA,0,NA,0,NA,0,NA,1,St. Louis,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,2193,2887,3561,4157,38.80388889,-89.95833333,NA,NA,NA,0
Illinois,Effingham,Democrat.,1,Kellogg,1,Chicago,1,St. Louis,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,2383,3065,3260,3774,39.12083333,-88.54583333,NA,NA,NA,0
Illinois,Effingham,Republican.,1,Kellogg,1,St. Louis,0,NA,0,NA,1,Standard,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,2383,3065,3260,3774,39.12083333,-88.54583333,NA,NA,NA,0
Illinois,Erie,Bulletin.,1,Kellogg,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,537,535,768,41.65777778,-90.07888889,NA,NA,NA,0
Illinois,Eureka,Journal.,1,Kellogg,1,Chicago,1,Chicago,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1233,1185,1481,1661,40.71555556,-89.27527778,NA,NA,NA,0
Illinois,Fairbury,Independent.,1,Kellogg,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1493,2140,2324,2187,40.74611111,-88.51416667,NA,NA,NA,0
Illinois,Fairfield,Democrat.,1,Kellogg,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,719,1391,1881,2338,38.38027778,-88.36583333,NA,NA,NA,0
Illinois,Fairfield,Press.,1,Kellogg,1,St. Louis,1,St. Louis,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,719,1391,1881,2338,38.38027778,-88.36583333,NA,NA,NA,0
Illinois,Fairfield,Republican.,1,Kellogg,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,719,1391,1881,2338,38.38027778,-88.36583333,NA,NA,NA,0
Illinois,Farmington,News.,1,Kellogg,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,Chicago Union,0,NA,0,NA,0,NA,0,1111,1375,1729,40.69888889,-90.00361111,NA,NA,NA,0
Illinois,Forreston,Herald.,1,Kellogg,0,NA,0,NA,0,NA,1,Chicago,0,NA,0,NA,0,NA,0,NA,0,NA,1,Chicago Union,0,NA,0,NA,0,1108,1118,1047,42.12583333,-89.58,NA,NA,NA,0
Illinois,Galesburg,Plain Dealer.,1,Kellogg,1,Chicago,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,10158,11437,15264,18607,40.95222222,-90.36861111,NA,NA,NA,0
Illinois,Geneva,Republican.,1,Kellogg,1,Chicago,0,NA,0,NA,0,NA,0,NA,1,Chicago,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1239,1692,2446,41.89,-88.31,NA,NA,NA,0
Illinois,Gibson,Courier.,1,Kellogg,0,NA,1,Chicago,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,Chicago Union,0,NA,0,NA,0,NA,0,1260,1803,2054,40.46555556,-88.37472222,NA,NA,NA,0
Illinois,Golconda,Herald.,1,Kellogg,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,858,1000,1174,1140,37.36388889,-88.48666667,NA,NA,NA,0
Illinois,Grand Tower,Item.,1,Kellogg,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,966,624,881,37.6325,-89.50194444,NA,NA,NA,0
Illinois,Greenfield,Dispatch.,1,Kellogg,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,985,1131,1085,39.34305556,-90.20972222,NA,NA,NA,0
Illinois,Greenville,Advocate.,1,Kellogg,1,St. Louis,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1886,1868,2504,38.88333333,-89.4,NA,NA,NA,0
Illinois,Hardin,Calhoun Herald.,1,Kellogg,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,300,311,494,39.15833333,-90.61833333,NA,NA,NA,0
Illinois,Hardin,Democrat.,1,Kellogg,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,300,311,494,39.15833333,-90.61833333,NA,NA,NA,0
Illinois,Havana,Democratic Clarion.,1,Kellogg,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1785,2118,2525,3268,40.29694444,-90.06,NA,NA,NA,0
Illinois,Hennepin,Putnam Record.,1,Kellogg,1,Chicago,1,Chicago,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,623,574,523,41.25277778,-89.34166667,NA,NA,NA,0
