Population,Town,State,Latitude,Longitude,Retailer,General,News,Educational,Juvenile,DepartmentStore,DrugStore,GiftStore,CirculatingLibrary,SecondHand,OldandRare,Medical,Law,Religious,Foreign,Wholesale,Music,X
29630,Orange,NEW JERSEY,40.7706187,-74.2326478,"Schmidt, Henry F., Co., 35o Main St. GGiCJ",1,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,ghcj
63824,Passaic,NEW JERSEY,40.8567662,-74.1284764,"Borig, Alexander F., 608 Main Ave. N",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,n
63824,Passaic,NEW JERSEY,40.8567662,-74.1284764,"Jewett, E. W., & Son GJN",1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gjn
63824,Passaic,NEW JERSEY,40.8567662,-74.1284764,"McLellan, James, 16 Bloomfield Ave. N",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,n
63824,Passaic,NEW JERSEY,40.8567662,-74.1284764,"Malcolm, John, 221 Main Ave. Gi",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,h
63824,Passaic,NEW JERSEY,40.8567662,-74.1284764,"Van Auken, W. T., 625 Main Ave. Gi",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,h
135865,Paterson,NEW JERSEY,40.9167654,-74.171811,"Achworth, John, 474 Market St. CN",NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,cn
135865,Paterson,NEW JERSEY,40.9167654,-74.171811,"Alexander Hamilton B'kshop, 22% Hamilton St. GOC",1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,goc
135865,Paterson,NEW JERSEY,40.9167654,-74.171811,"Layton, George, 13 Park Ave. N",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,n
135865,Paterson,NEW JERSEY,40.9167654,-74.171811,"Meyer Bros. (L. L. Samuels), 179 Main St. D",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d
135865,Paterson,NEW JERSEY,40.9167654,-74.171811,"Modermann (Daisy S. Modermann), 22 Hamilton St. G",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,g
135865,Paterson,NEW JERSEY,40.9167654,-74.171811,"Ponsma, P., 130 N. Main St. GMRF (Dutch)",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,gmrf
135865,Paterson,NEW JERSEY,40.9167654,-74.171811,"Quackenbush & Co. (Mrs. Helen King), 190 Main St. D",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d
135865,Paterson,NEW JERSEY,40.9167654,-74.171811,"Rumler Bros., 207 Market St. GN",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gn
135865,Paterson,NEW JERSEY,40.9167654,-74.171811,"Tier, Wm. E., & Son, 60 Temple St. N",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,n
135865,Paterson,NEW JERSEY,40.9167654,-74.171811,"Van Gieson, Augustus, 29 Fair St. GN",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gn
