Title,City,State,Start,End,Language,Category
Broughton's Monthly Planet Reader and Astrological Journal,Philadelphia,PA,4/1/1860,10/1/1865,English,Astrology--Periodicals.
Brownson's Quarterly Review,Boston,MA,1/1/1853,10/1/1864,English,Democratic.
"Bryant, Stratton & Co.'s Com'l College Monthly",New York,NY,10/1/1863,10/1/1863,English,Advertising periodicals.College student periodicals.Business and financial periodicals.
"Bryant, Stratton & Packard's New York Commercial College Monthly",New York,NY,7/1/1865,7/1/1865,English,Advertising periodicals.College student periodicals.Business and financial periodicals.
"Bryant, Stratton, Mason & Packard's Boston Business College Monthly",Boston,MA,1/1/1865,7/1/1865,English,Advertising periodicals.College student periodicals.Business and financial periodicals.
Buchanan's Journal of Man,Cincinnati,OH,1/1/1853,3/1/1854,English,Phrenology--Periodicals.Sarcognomy--Periodicals.
Buffalo Medical Journal and Monthly Review of Medical and Surgical Science,Philadelphia,PA,5/1/1859,5/1/1859,English,Medical periodicals.
"Buffalo Morning News, The",Buffalo,NY,2/27/1858,2/27/1858,English,Local news periodical -- Massachusetts. Advertising periodical.
Bulletin Bibliographique De Ch. B. Norton Libraire A New York: Liste Des Ouvrages Nouveaux PubliÇs En France: Ce Bulletin Sera EnvoyÇ Gratutitement Une Fois Par Mois Aux Correspondants et Aux Personnes Qui En Feront La Demande?,Paris,France,3/1/1855,4/1/1855,French,Literary periodicals.
Bulletin Bibliographique De Franck Taylor Libraire A Washington: Liste Des Ouvrages Nouveaux Publies En France: Ce Bulletin Sera EnvoyÇ Gratutitement Une Fois Par Mois Aux Correspondants et Aux Personnes Qui En Feront La Demande?,Paris,France,12/1/1854,7/1/1856,French,Literary periodicals.
Bulletin Bibliographique De Hector Bossange et Fils Libraires et Commissionnaires Pour L'exportation A Paris Quai Voltaire 25; A New York Beekman Street 20: Liste Des Ouvrages Nouveaux PubliÇs En France: Ce Bulletin Sera EnvoyÇ Gratutitement Une?,Paris,France,11/1/1858,5/1/1859,French,Literary periodicals.
Burritt's Citizen Of The World.,Philadelphia,PA,2/1/1855,12/1/1856,English,Anti-slavery periodicals.
"Business-man's Journal: An Advertising Medium, The",Lykens,PA,12/3/1863,12/3/1863,English,Business and financial periodicals. Advertising periodicals.
Byrn's Monthly Journal of New and Useful Inventions,New York,NY,5/1/1862,5/1/1862,English,Inventions--Periodicals.
"Cabinet Organ, The",New York,NY,1/1/1863,1/1/1863,English,Music periodicals.Advertising periodicals.
"Calendar, The",Hartford,CT,1/1/1853,12/27/1856,English,Literary periodicals.
"California Culturist, The",San Francisco,CA,11/1/1860,11/1/1860,English,Agriculture--California--Periodicals.
California Law Journal and Literary Review,San Francisco,CA,10/7/1862,6/3/1863,English,"Law--California--Periodicals.Law reports, digests, etc.--California."
"California Mountaineer, The",San Francisco,CA,1/1/1861,5/1/1861,English,Literary periodicals.
"California Youths' Companion, The",San Francisco,CA,12/1/1865,12/29/1865,English,Children's periodicals.Juvenile literature--Periodicals.
"Calliope, The",Three Rivers,Quebec,3/15/1859,8/30/1859,English,Literary periodicals.
"Calumet, The",New York,NY,2/1/1860,2/1/1860,English,Indians of North America--Periodicals.
"Camden Confederate, The",Camden,SC,4/17/1863,7/10/1863,English,Literary periodicals.
Camp Meeting Herald,Martha's Vineyard,MA,8/7/1862,8/8/1862,English,Camp meeting periodicals.
"Canadian Agriculturist and Journal of Transactions of the Board of Agriculture, Agricultural Association, &c, The",Toronto,Ontario,1/1/1855,6/12/1860,English,Agriculture--Periodicals.Agriculture--Canada--Periodicals.
"Canadian Agriculturist, The",Toronto,Ontario,1/1/1858,3/1/1858,English,Agricultural periodicals.
"Canadian Freemason, The",Montreal,Quebec,5/1/1860,9/1/1860,English,Freemasonry--Canada--Periodicals.
"Canadian Journal of Industry, Science, and Art, The",Toronto,Ontario,1/1/1856,11/1/1865,English,Industry periodicals.
"Canadian Naturalist and Geologist, and Proceedings of the Natural History Society of Montreal, The",Montreal,Quebec,3/1/1857,12/1/1863,English,Science periodicals.
"Canadian Naturalist and Geologist, The",Montreal,Quebec,2/1/1856,1/1/1857,English,Natural history--Periodicals.
