Title,City,State,Start,End,Language,Category
Literary Miscellany,New York,NY,10/1/1853,10/1/1853,English,Literary periodicals.
"Literary Rambler, The",Portland,ME,7/1/1854,7/1/1854,English,Literary periodicals.
"Literary Scrap Book and Monthly Family Magazine, The",Malden,NY,10/1/1854,9/1/1855,English,Literary periodicals.
"Literary World, The",New York,NY,1/1/1853,12/31/1853,English,Publishers and publishing--United States--Periodicals.
Littell's Living Age,Boston,MA,1/1/1853,4/15/1865,English,Literary periodicals.
"Little American, The",Hudson,NY,11/15/1862,6/15/1863,English,Women in the printing and publishing trades.
"Little Corporal, The",Chicago,IL,7/1/1865,12/1/1865,English,Women in the printing and publishing trades.
"Little Crusader for the Band of Love, The",Boston,MA,3/15/1864,3/15/1864,English,Children's periodicals.Religious periodicals.Juvenile literature--Periodicals.
"Little Forester, The",Cincinnati,OH,1/1/1854,10/1/1855,English,Women in the printing and publishing trades.
"Little Joker, The",New York,NY,2/17/1855,2/17/1855,English,Comic periodicals.
"Little Joker, The",New York,NY,1/1/1864,12/1/1864,English,Comic periodicals.Women's periodicals.
"Little Pig Monthly, The",New York,NY,6/1/1859,7/1/1859,English,Children's periodicals.Juvenile literature--Periodicals.
Little Pilgrim,Philadelphia,PA,10/1/1853,12/1/1865,English,Women in the printing and publishing trades.
Little Scissors,New York,NY,4/1/1856,11/1/1862,English,Literary periodicals.
"Little Sower, The",Indianapolis,IN,1/1/1865,11/1/1865,English,Sunday school literature.
"Little Wanderers' Friend, The",New York,NY,2/1/1862,2/1/1863,English,Orphanages--New York (State)--New York--Periodicals.Child welfare--New York (State)--New York--Periodicals.
Livingston's Biographical Magazine,New York,NY,5/1/1853,5/1/1853,English,Literary periodicals.
Livingston's Monthly Law Magazine,New York,NY,1/1/1853,1/1/1856,English,"Law reports, digests, etc.--United States--Periodicals.Law--United States--Periodicals."
"Local Spy, The",Wallingford,VT,7/18/1857,3/6/1858,English,Literary periodicals.
"London Lancet, The",New York,NY,1/1/1853,6/1/1861,English,Medicine--Periodicals.
"London Quarterly Review, The",New York,NY,1/1/1853,10/1/1865,English,Literary periodicals.
"Lorgnette, The",Philadelphia,PA,9/21/1859,5/11/1861,English,Theater programs--New York (State)--New York.
"Lost Comet, The",Hamilton,OH,10/1/1865,10/1/1865,English,Comic periodicals
Lover of Zion,Hartford,CT,11/1/1853,11/1/1853,English,Adventists--Periodicals.
Lutherische Zeitschrift,Allentown,PA,11/1/1854,11/1/1854,German,Ethnic periodicalsReligious periodicals
"Luzerne Legal Observer, The",Scranton,PA,11/6/1863,11/6/1863,English,Lawyers' periodicals.
"Macedonian, The",Boston,MA,6/1/1853,7/1/1864,English,Religious periodicalsMission periodicals
Macmillan's Magazine,Cambridge,MA,3/1/1860,8/1/1861,English,Literary periodicals.
"Magazine of Good News, The",Philadelphia,PA,1/1/1862,12/1/1862,English,Literary periodicals.
"Magazine of Horticulture, Botany, and All Useful Discoveries and Improvements in Rural Affairs, The",Boston,MA,1/1/1853,12/1/1865,English,Gardening--United States--Periodicals.
Magazine of Travel,Detroit,MI,1/1/1857,12/1/1857,English,Voyages and travels--Periodicals.
"Magnetic Herald, The",Earlville,NY,5/1/1853,8/1/1855,English,Advertising periodicals.Medical Periodicals.
"Maile Quarterly, The",Honolulu,HI,9/1/1865,12/1/1865,English,Mission--Hawaii--Periodicals.
"Maine Evangelist, The",Portland,ME,10/4/1856,12/24/1859,English,Congregationalism--Periodicals.
Maine Light and Eastern Magazine,Ellsworth,ME,1/1/1853,1/1/1853,English,Literary periodicals.
Maine Son of Temperance,Portland,ME,7/21/1860,7/21/1860,English,Temperance periodicals
"Maine Teacher and School Officer, The",Portland,ME,8/1/1860,2/1/1864,English,Education--Maine.Education--Periodicals.
"Maine Teacher, The",Portland,ME,3/1/1859,5/1/1860,English,Education--Periodicals.Education--Maine.
Maine Temperance Journal and Inquirer,Portland,ME,2/11/1858,2/18/1858,English,Temperance periodicals
Manford's Monthly Magazine,Chicago,IL,11/1/1864,11/1/1864,English,Universalism--Periodicals.
Marie Louise Hankins' & Co's Family Pictorial,New York,NY,4/1/1860,7/1/1860,English,Women in the printing and publishing trades.
Marie Louise Hankins & Co's Literary Gazette,Boston,MA,4/1/1859,4/1/1859,English,Women's periodicals.Literary periodicals.
Marie Louise Hankins' Family Newspaper,New York,NY,12/1/1860,4/25/1861,English,Women in the printing and publishing trades.
"Marietta Collegiate Magazine, The",Marietta,OH,8/1/1854,4/1/1857,English,College student periodicals.
"Marsonian Literary Casket of the 1st Brigade, 3rd Division, 2nd Army Corps",Unknown,Unknown,5/1/1864,5/1/1864,English,Military periodicals.
Maryland Farmer and Mechanic,Baltimore,MD,12/1/1865,12/1/1865,English,Agriculture--Periodicals.
"Masonic Casket, The",Collinsville,CT,1/1/1861,1/1/1863,English,Freemasonry--Periodicals.
Masonic Chronicle,New York,NY,2/1/1859,1/1/1860,English,Freemasonry--United States--Periodicals.
"Masonic Delta, The",New Orleans,LA,3/1/1858,3/1/1858,English,Masonic periodicals.
"Masonic Eclectic or Gleanings From the Harvest Field of Masonic Literature and the Kindred Sciences: Ancient and Modern Original and Selected, The",New York,NY,9/1/1860,11/1/1865,English,Freemasonry--Periodicals.
"Masonic Journal, The",Haverhill,MA,9/1/1857,1/1/1860,English,Freemasonry--Massachusetts--Periodicals.Freemasonry--Maine--Periodicals.
Masonic Library: and God Said Let There Be Light: A Re-Print of Old Standard Masonic Works; Including All the Writings of Dr. George Oliver,Philadelphia,PA,1/1/1855,12/1/1855,English,Masonic periodicals.
"Masonic Messenger, The",New York,NY,4/1/1855,5/15/1861,English,Masonic periodicals.
"Masonic Mirror and American Keystone, The",Philadelphia,PA,1/5/1853,12/26/1860,English,Freemasonry--Periodicals.
"Masonic Monthly, The",Boston,MA,11/1/1863,12/1/1865,English,Masonic periodicals.
"Masonic News, The",New York,NY,6/7/1856,6/7/1856,English,Masonic periodicals.
Masonic Register and Gazette of News,New York,NY,6/10/1854,7/15/1854,English,Masonic periodicals.
"Masonic Review, The",Cincinnati,OH,1/1/1853,12/1/1865,English,Freemasonry--United States--Periodicals.
"Masonic Trowel, The",Springfield,IL,4/15/1862,12/15/1865,English,Freemasonry--Illinois--Periodicals.
"Masonic Union, The",Auburn,NY,1/2/1854,3/1/1854,English,Freemasonry--New York (State)--Periodicals.
"Massachusetts Cataract, Temperance Standard and Dew Drop, The",Worcester,MA,1/6/1853,3/3/1853,English,Temperance periodicals.
Massachusetts Life Boat,Boston,MA,3/2/1853,9/19/1854,English,Temperance periodicals.
Massachusetts Musical Journal,Fall River,MA,5/1/1855,4/15/1856,English,Music--Periodicals.
"Massachusetts Teacher and Journal of Home and School Education, The",Boston,MA,1/1/1856,12/1/1857,English,Education--Massachusetts--Periodicals.
"Massachusetts Teacher, The",Boston,MA,1/1/1858,12/1/1865,English,Education--Massachusetts--Periodicals.
"Massachusetts Teacher, The",Boston,MA,1/1/1853,10/1/1855,English,Education--Massachusetts--Periodicals.Education--Periodicals.
"Mathematical Monthly, The",Cambridge,MA,10/1/1858,9/1/1861,English,Mathematics--Periodicals.
"May-Flower, The",Newburyport,MA,5/1/1856,5/1/1856,English,Bazaars (Charities)--Massachusetts--Newburyport--Periodicals. Older women--Massachusetts--Social conditions--Periodicals. Women in the printing and publishing trades.
McDonald's Excelsior and Twenty Five Cent Newspaper,New York,NY,10/1/1853,10/1/1853,English,Local news periodical -- New York City. Advertising periodical.
"Mechanical Advertiser, The",New York,NY,8/1/1865,8/1/1865,English,Machinery--Periodicals.
Mechanics' Fair Daily Press,San Francisco,CA,9/5/1864,10/1/1864,English,Fair and exhibition--periodicals.Mechanics' periodicals.
Mechanics Fair Reporter,Worcester,MA,9/19/1857,10/6/1857,English,Fair and exhibition periodicals.Mechanics periodicals.Gratis periodicals.
"Medical and Surgical Reporter, The",Burlington,NJ,3/1/1857,7/1/1857,English,Medicine--Periodicals.Surgery--Periodicals.
"Medical and Surgical Reporter, The",Philadelphia,PA,5/31/1862,6/24/1865,English,Medicine--Periodicals.
"Medical Books for Sale By Richey, Mallory & Co. No145 Main Street",Cincinnati,OH,10/1/1859,10/1/1859,English,Booksellers' catalogs--Ohio--Cincinnati.
"Medical Exponent and Gazette of Health: Devoted to the General Diffusion of Popular Medical Knowledge, The",New York,NY,5/1/1856,5/1/1856,English,Medical periodicals.Advertising periodicals.
"Medical Exponent and Gazette of Health: Devoted to the General Diffusion of Popular Medical Knowledge, The",New York,NY,5/1/1856,5/1/1856,English,Medical periodicals.Advertising periodicals.
"Medical News and Library, The",Philadelphia,PA,1/1/1865,12/1/1865,English,Medicine--Periodicals.
"Medical Recorder, The",Memphis,TN,3/1/1853,3/1/1853,English,Medicine--Periodicals.
"Melrose Ready Letter Writer, The",Melrose,MA,12/1/1864,12/1/1864,English,Literary periodicals.
Memphis Medical Recorder,Memphis,TN,9/1/1853,5/1/1856,English,Medicine--Periodicals.
"Mendon Aurora, and Advertiser",Mendon,MA,2/7/1854,2/7/1854,English,Local news periodical -- Massachusetts. Advertising periodical.
Mercantile Advertiser,Fall River,MA,4/6/1855,4/6/1855,English,Advertising periodical.
Mercantile Library Reporter,Boston,MA,11/1/1854,5/1/1857,English,Literary periodicals.
"Mercantile Register, and Pennsylvania Central Railroad Advertiser, The",Philadelphia,PA,8/1/1865,8/1/1865,English,Railway periodicals. Gratis periodicals. Advertising periodicals.
"Mercersburg Quarterly Review, The",Chambersburg,PA,1/1/1853,10/1/1856,English,German Americans--Periodicals.Theology--Periodicals.
"Mercersburg Review, The",Chambersburg,PA,1/1/1857,10/1/1861,English,Theology--Periodicals.
Merchants & Manufacturers Journal,New York,NY,7/29/1858,7/29/1858,English,Business and financial periodicals.Advertising periodicals.
Merchants & Manufacturers Journal,New York,NY,7/29/1858,7/29/1858,English,Business and financial periodicals.Advertising periodicals.
"Merchants' and Manufacturers' Magazine, The",Boston,MA,12/1/1856,3/1/1860,English,Manufactures--New England--Periodicals.
"Merchants' Journal, The",New York,NY,5/20/1854,5/20/1854,English,Story papers (Periodicals)Cartoons.
"Merchants' Magazine and Commercial Review, The",New York,NY,12/1/1856,12/1/1865,English,Commerce--Periodicals.
Merry's Museum and Parley's Playmate,Boston,MA,1/1/1853,1/1/1857,English,Children's periodicals.Children's periodicals.Juvenile literature--Periodicals.
"Merry's Museum, Parley's Magazine, Woodworth's Cabinet, and the Schoolfellow",New York,NY,1/1/1858,7/1/1865,English,Children's periodicals.Juvenile literature--Periodicals.
Merry's New York Weekly Marine Reports,Philadelphia,PA,5/27/1861,5/18/1863,English,Insurance periodicals.
"Message, The",New York,NY,1/1/1857,5/1/1858,English,Charities--New York (State)--New York.
"Methodist Magazine, The",Baltimore,MD,3/1/1855,5/1/1857,English,Religious periodicals.
"Methodist Quarterly Review, The",New York,NY,1/1/1853,10/1/1865,English,Religious periodicals.
"Metropolitan, The",Baltimore,MD,2/1/1853,11/1/1853,English,Religious periodicals.
"Metropolitan: A Weekly Illustrated Literary Journal, Devoted to the Amusement, Instruction and Entertainment of the Home Circle, The",New York,NY,5/19/1860,5/19/1860,English,Story papers (Periodicals)
Meyer's Universum or Views of the Most Remarkable Places and Objects of All Countries,New York,NY,1/1/1853,1/1/1853,German,Views. Periodicals.
Michigan Farmer,Jackson,MI,1/1/1853,12/1/1858,English,Agriculture--Periodicals.
Michigan Journal of Education and Teachers' Magazine,Detroit,MI,1/1/1854,12/1/1854,English,Education--Michigan--Periodicals.
"Military Gazette, The",New York,NY,1/1/1859,4/1/1861,English,Military art and science--Periodicals.
Millennial Banner and Juvenile Instructor in the Things Concerning the Kingdom of God and the Name of Jesus the Christ,Seneca Falls,NY,1/1/1864,1/1/1864,English,Adventists--Periodicals.
"Millennial Harbinger and Bible Expositor, The",Seneca Falls,NY,9/5/1860,11/23/1864,English,Adventists--Periodicals.
"Millennial Harbinger, The",Bethany,VA,1/1/1853,12/1/1863,English,Adventists--Periodicals.
"Millennial Messenger, The",New York,NY,5/1/1855,5/1/1855,English,Millennialism--Periodicals.Adventists--Periodicals.
Mining & Petroleum Standard and American Gas Light Journal,New York,NY,1/2/1865,1/2/1865,English,Mining periodicals.Industry periodicals.
"Mining and Statistic Magazine, The",New York,NY,10/1/1858,10/1/1858,English,Mines and mineral resources--Periodicals.
"Mining Magazine and Journal of Geology, Mineralogy, Metallurgy, Chemistry, and the Arts in Their Applications to Mining and Working Useful Ores and Metals, The",New York,NY,11/1/1859,4/1/1860,English,Mineral industries--Periodicals.
"Mining Magazine, The",New York,NY,7/1/1853,12/1/1857,English,Mineral industries--Periodicals.
"Mirror of the Philomathean Society, The",Andover,MA,3/1/1855,11/1/1859,English,Student periodicals.
Missionary Advocate,New York,NY,1/1/1853,11/1/1864,English,Missions--Periodicals.
Missionary Crumbs,New York,NY,6/1/1862,6/1/1862,English,Missions--Periodicals.
"Missionary Herald, The",Boston,MA,1/1/1853,12/1/1865,English,Congregational churches--Missions--Periodicals.
"Missionary Magazine, The",Boston,MA,1/1/1853,12/1/1865,English,Missions--Periodicals.
Missions Bla?tter,Allentown,PA,3/1/1855,3/1/1855,German,Religious periodicals. Ethnic periodicals. Mission periodicals.
"Missouri Presbyterian Recorder, The",St. Louis,MO,3/1/1855,2/1/1856,English,Religious periodicals.
M'me Demorest's Quarterly Mirror of Fashions,New York,NY,12/1/1862,4/1/1863,English,Women in the printing and publishing trades.Fashion--Periodicals.Dressmaking--Periodicals.
"Modern Age, The",Hopedale,MA,8/1/1865,8/1/1865,English,Literary periodicals.
Momus,New York,NY,6/30/1860,6/30/1860,English,Literary periodicals.
"Monatliche Beilage der ""Turnzeitung:"" fu?r die Turnvereine.",Cincinnati,OH,12/1/1855,2/1/1857,German,Ethnic periodicalsSports periodicalsPolitical periodicals
Monatliche Beilage: fu?r die Turnvereine.,Cincinnati,OH,11/1/1855,11/1/1855,German,Ethnic periodicalsSports periodicalsPolitical periodicals
"Monitor, The",Baltimore,MD,1/2/1857,12/10/1858,English,Religious periodicals.
"Monitor, The",Concord,MA,4/19/1862,6/7/1862,English,"Literature, Modern--19th century--Periodicals. Authors, American--Massachusetts--Concord--Periodicals. Literary periodicals."
Montgomery's Pictorial Times,New York,NY,1/14/1854,2/25/1854,English,Periodicals. Relief prints. Ornate types (Type evidence).
Monthly Bulletin of the Operations of the Cincinnati Branch United States Sanitary Commission,Cincinnati,OH,5/1/1863,12/1/1863,English,Government periodical.
Monthly Bulletin of the United States Agricultural Society,Washington D.C.,USA,3/1/1858,9/1/1858,English,Agriculture--United States--Periodicals.
"Monthly Casket, The",New York,NY,11/1/1860,11/1/1860,English,Literary periodicals.
Monthly Catalogue of Efficient and Reliable Lawyers,New York,NY,5/1/1858,5/1/1858,English,Advertising newspapers.Lawyers' periodicals.
Monthly College Journal,Syracuse,NY,7/1/1863,7/1/1863,English,College student periodicals.Business and financial periodicals.
"Monthly Gospel Visiter, The",Poland,OH,7/1/1856,7/1/1856,English,Religious periodicals.
"Monthly Instructor and Fire Side Companion, The",Boston,MA,7/1/1854,1/1/1855,English,Children's periodicals.Juvenile literature--Periodicals.
"Monthly Journal of the American Unitarian Association, The",Boston,MA,1/1/1860,12/1/1865,English,Unitarianism--Periodicals.
Monthly Journal of the California State Agricultural Society,Sacramento,CA,6/1/1859,3/1/1860,English,Agriculture--California--Periodicals.
"Monthly Journal, The",North Strafford,NH,11/1/1863,11/1/1863,English,Advertising periodicals.
"Monthly Jubilee, The",Philadelphia,PA,4/1/1853,9/1/1855,English,Working class--Periodicals.
Monthly Law Reporter Advertiser,Boston,MA,2/1/1853,2/1/1853,English,Lawyers' periodicals.Advertising periodicals.Booksellers' advertisements.
"Monthly Law Reporter, The",Boston,MA,1/1/1853,7/1/1865,English,"Law--Massachusetts--Periodicals.Law reports, digests, etc."
Monthly Literary Miscellany,Detroit,MI,1/1/1853,2/1/1853,English,Religious periodicals.
"Monthly Musical Gazette, The",New York,NY,4/1/1853,4/1/1853,English,Music--Periodicals.
"Monthly Nautical Magazine and Quarterly Commercial Review, The",New York,NY,10/1/1854,9/1/1855,English,Naval art and science--Periodicals.Sailors--Periodicals.
Monthly Rainbow,Philadelphia,PA,6/15/1856,6/15/1856,English,Science periodicals.
"Monthly Rainbow or Chapman's Precalculations for Elementary Changes, The",Philadelphia,PA,10/24/1855,12/22/1855,English,Physics--Periodicals.
Monthly Record of the Five Points House of Industry,New York,NY,5/1/1857,3/1/1863,English,Charities--New York (State)--New York.
"Monthly Religious Magazine and Independent Journal, The",Boston,MA,1/1/1856,12/1/1860,English,Unitarianism--Periodicals.
"Monthly Religious Magazine, The",Boston,MA,1/1/1853,6/1/1856,English,Unitarianism--Periodicals.
"Monthly Religious Magazine, The",Boston,MA,1/1/1861,12/1/1865,English,Unitarianism--Periodicals.
Monthly Trade Gazette,New York,NY,4/1/1855,6/1/1857,English,Booksellers and bookselling--Periodicals.
"Monthly Voice, The",Newark,OH,1/1/1863,4/1/1864,English,Children's periodicals.Religious periodicals.Juvenile literature--Periodicals.
"Monthly Waverley Magazine and Literary Repository, The",Boston,MA,10/3/1857,10/31/1857,English,Literary periodicals.
"Monthly, The",Chicago,IL,3/1/1865,7/1/1865,English,Religious periodicals.
Montreal Register,Montreal,Quebec,12/14/1861,12/14/1861,English,Religious periodicals.Mission periodicals.
Moore's Rural New Yorker,Rochester,NY,1/1/1853,12/30/1865,English,Agriculture--Periodicals.
"Moore's Western Lady's Book: Devoted to Pure Literature, Biography, Science and General Miscellany, for the Interest of the Home Circle",Cincinnati,OH,10/1/1857,10/1/1857,English,Literary periodicals.Women's periodicals.Science periodicals.Printed wrappers (Binding).
"Moravian, The",Philadelphia,PA,1/1/1856,9/29/1864,English,Religious periodicals.
"Morning Light, The",Concord,NH,11/6/1854,12/18/1854,English,Adventists--Periodicals.
Morning Star,Jaffna,Sri Lanka,5/26/1853,2/8/1855,Tamil,Literary periodicals.
Morning Star,Limerick,ME,1/5/1853,12/27/1865,English,Religious periodicals.
"Morning Star, The",Newburyport,MA,12/12/1857,12/12/1857,English,Temperance periodicals.
"Mother's Assistant and Child's Friend, The",Boston,MA,7/1/1857,8/1/1863,English,Women's periodicals.Children's periodicals.Religious periodicals.Juvenile literature--Periodicals.
"Mother's Assistant and Child's Friend, The",Boston,MA,1/1/1856,12/1/1856,English,Women in the printing and publishing trades.
"Mother's Assistant and Fireside Miscellany, The",Boston,MA,1/1/1855,1/1/1855,English,Women's periodicals.
"Mother's Assistant and Young Lady's Friend, The",Boston,MA,1/1/1853,12/1/1854,English,Women in the printing and publishing trades.
"Mother's Assistant and Young Lady's Friend, The",Boston,MA,1/1/1857,5/1/1857,English,Women's periodicals.Children's periodicals.Religious periodicals.Music periodicals.Juvenile literature--Periodicals.
"Mothers' Journal and Family Visitant, The",Philadelphia,PA,1/1/1853,12/1/1863,English,Women's periodicals.
"Mother's Magazine & Family Monitor, The",New York,NY,1/1/1853,12/1/1855,English,Women in the printing and publishing trades.
"Mother's Magazine and Daughter's Friend, The",New York,NY,1/1/1857,7/1/1857,English,Women's periodicals.
"Mother's Magazine and Family Circle, The",New York,NY,1/1/1857,12/1/1865,English,Women in the printing and publishing trades.
"Mother's Magazine for Mothers and Daughters, The",New York,NY,1/1/1856,1/1/1856,English,Women's periodicals.
Mount Holyoke Pathfinder,Northampton,MA,7/29/1862,1/1/1863,English,School- based periodical.
Mount Vernon Record,Philadelphia,PA,7/1/1858,6/1/1860,English,Literary periodicals.
"Mount Vernon, The",Portland,ME,2/11/1859,2/14/1859,English,Theater--Maine--Portland--Periodicals.
"Mountain Cove Journal and Spiritual Harbinger, The",Mountain Cove,WV,3/10/1853,10/20/1853,English,Spiritualism--Periodicals.
Mr. Merryman's Monthly!,New York,NY,8/1/1864,8/1/1864,English,Literary periodicals.
Mrs. Grundy,New York,NY,7/8/1865,7/22/1865,English,American wit and humor--Periodicals.
Mrs. Stephens' New Monthly,New York,NY,7/1/1856,6/1/1858,English,Women in the printing and publishing trades.
Mrs. Whittelsey's Magazine for Mothers and Daughters,New York,NY,2/1/1853,11/1/1854,English,Christian life--Periodicals.Women in the printing and publishing trades.
Mt. Auburn Memorial,Cambridge,MA,6/15/1859,8/15/1860,English,Periodicals.
Murray's Review,Fruit Hills,OH,10/1/1854,3/1/1856,English,Atheism--Periodicals.
Musical Pioneer,New York,NY,10/1/1864,12/1/1865,English,Music--Periodicals.Music--Periodicals--United States--19th century.
Musical Review and Choral Advocate,New York,NY,1/1/1853,12/1/1853,English,Music--Periodicals.
"Musical Review and Musical World, The",New York,NY,8/18/1860,12/8/1860,English,Music--Periodicals.
Musical World,New York,NY,9/9/1854,12/29/1855,English,Music--Periodicals.
"Musical World & Times, The",New York,NY,9/3/1853,4/29/1854,English,Music--Periodicals.
Musical World and New York Musical Times,New York,NY,5/6/1854,9/2/1854,English,Music--Periodicals.
"Musical World, The",New York,NY,1/2/1858,12/31/1859,English,Music--Periodicals.Music--Periodicals--United States--19th century.
"Mustang Bulletin, The",New York,NY,6/1/1853,6/1/1853,English,Medical periodicals.Advertising periodicals.
"Mute and the Blind, The",Trenton,NJ,3/5/1859,8/1/1864,English,Religious periodicals.
"Myrtle, The",Dover,NH,10/15/1853,12/2/1865,English,Sunday school literature.
"Myrtle, The",Boston,MA,5/1/1864,2/1/1865,English,Universalism--Periodicals.
Nashville Journal of Medicine and Surgery,Nashville,TN,9/1/1858,9/1/1858,English,Medicine--Periodicals.
"Nassau Literary Magazine, The",Princeton,NJ,9/1/1855,12/1/1860,English,College student periodicals.
Natchez Weekly Mirror,Natchez,MS,1/14/1854,1/14/1854,English,Literary periodicals.
"Nathanean, The",Middletown,NY,1/1/1854,1/1/1854,English,Political periodicals.
"Nation, The",New York,NY,7/6/1865,12/28/1865,English,Literary periodicals.
National Agriculturist,Pittsburgh,PA,4/1/1860,4/1/1860,English,Agricultural periodicals.
"National Banner and Journal of the Institute of Reward for Orphans of Patriots, The",New York,NY,11/1/1863,11/1/1863,English,Military periodicals.Women's periodicals.
"National Crisis: An Antidote to Abolition Fanaticism, Treason and Sham Philanthropy, The",New York,NY,5/15/1860,6/9/1860,English,Proslavery periodicals.Political periodicals.
National Democratic Quarterly Review,Washington D.C.,USA,11/1/1859,6/1/1860,English,Literary periodicals.
"National Democratic Review, The",Washington D.C.,USA,5/1/1856,5/1/1856,English,Political periodicals.
"National Freedman, The",New York,NY,3/1/1865,5/1/1865,English,Freedmen--Periodicals.African Americans--History--Periodicals.
"National Freemason, The",Washington D.C.,USA,9/1/1863,12/1/1865,English,Masonic periodicals.
National Horse Fair Bulletin,Springfield,MA,8/16/1858,8/16/1858,English,Agricultural periodicals.Fair and exhibition periodicals.Gratis periodicals.
National Humorist,New York,NY,7/1/1858,7/1/1858,English,Comic periodicals.Cartoons.
"National Humorist and Laughing Philosopher: Devoted to Anecdotes, Smart Sayings, Bonmots, Satyrics and Retorts, The",New York,NY,7/1/1858,7/1/1858,English,Comic periodicals.Cartoons.
"National Magazine, The",New York,NY,1/1/1853,12/1/1858,English,Religious periodicals.Literary periodicals.
"National Petroleum Times, The",Pittsburgh,PA,4/1/1865,4/1/1865,English,Industry periodicals. Mining periodicals.
"National Preacher and the Prayer Meeting, The",New York,NY,1/1/1862,5/1/1865,English,Sermons--Periodicals.Religion--Periodicals.
"National Preacher and Village Pulpit, The",New York,NY,1/1/1858,12/1/1861,English,Sermons--Periodicals.Religion--Periodicals.
"National Quarterly Review, The",New York,NY,6/1/1860,6/1/1863,English,Literary periodicals.
"National Recorder of Religious and Literary Intelligence, The",Washington D.C.,USA,3/1/1859,3/1/1859,English,Religion and state--United States--Periodicals.
"National Review, The",London,England,7/1/1855,1/1/1863,English,Literary periodicals.
"National Standard, The",New York,NY,9/2/1854,9/2/1854,English,Political periodicals.Anti-Catholic periodicals.
"National Telegraph Review and Operator's Companion, The",Philadelphia,PA,4/1/1853,1/1/1854,English,Telegraph--United States--Periodicals.
National Temperance Fountain,Washington D.C.,USA,6/7/1864,6/7/1864,English,Temperance periodicals.
Nature's Arcana or the Scientific Indian Physician,Boston,MA,3/1/1856,5/1/1856,English,Advertising periodicals.Medical periodicals.Health periodicals.
"Nebraska Farmer, The",Brownville,NE,10/1/1860,10/1/1860,English,Agriculture--Nebraska--Periodicals.
Nelson's American Lancet,Plattsburgh,NY,5/1/1855,12/17/1855,English,Medicine--Periodicals.
New Age,San Francisco,CA,1/7/1865,12/30/1865,English,Friendly society--periodicals.
"New American Magazine, The",Cleveland,OH,1/1/1853,6/1/1853,English,Literary periodicals.
"New Brunswick Review, The",New York,NY,5/1/1854,2/1/1855,English,Protestantism--Book reviews--Periodicals.
"New Church Herald and Monthly Repository, The",Philadelphia,PA,7/1/1856,12/1/1856,English,Religious periodicals.
New Church Magazine for Children,Boston,MA,2/1/1855,6/1/1862,English,Religious periodicals.Children's periodicals.Juvenile literature--Periodicals.
"New Church Messenger, The",Cincinnati,OH,3/1/1853,4/16/1855,English,Religious periodicals.
"New Church Repository and Monthly Review, The",New York,NY,1/1/1855,6/1/1856,English,Religious periodicals.
"New England Directory: Devoted to Railroads, Steamers, Stages, Expresses Omnibuses Hotels, Amusements, Advertisements, News, &C",Boston,MA,12/12/1853,12/12/1853,English,Tourist and travel periodicals.Advertising periodicals.Gratis periodicals.
"New England Family Circle, The",Worcester,MA,2/1/1859,2/1/1859,English,Literary periodicals.
"New England Farmer, The",Boston,MA,1/1/1853,8/1/1864,English,Agriculture--New England--Periodicals.
"New England Historical and Genealogical Register, The",Boston,MA,1/1/1853,10/1/1865,English,Genealogy--Periodicals.
New England Insurance Gazette and Monthly Financial Record,Boston,MA,5/1/1862,12/1/1865,English,Insurance--Periodicals.
New England Magazine of Industry and Trade,Boston,MA,7/1/1859,11/1/1859,English,Industries--New England--Periodicals.
"New England Mechanic, The",Lynn,MA,7/2/1859,7/2/1859,English,Shoemakers--Massachusetts--Lynn--Periodicals. Industry periodicals. Mechanics' periodicals.
"New England Medical and Surgical Journal, The",Worcester,MA,3/15/1854,12/30/1854,English,Medical periodicals.
"New England Medical Eclectic, The",Worcester,MA,7/1/1859,7/1/1859,English,"Medicine, Eclectic--Periodicals."
New England Spiritualist,Boston,MA,4/6/1856,12/26/1857,English,Spiritualism--Periodicals.
New Englander,New Haven,CT,2/1/1853,10/1/1865,English,Religion--Periodicals.
"New Era or Heaven Opened to Man, The",Boston,MA,1/19/1853,9/13/1854,English,Spiritualism--Periodicals.
"New Era, The",Boston,MA,11/18/1854,2/24/1855,English,Spiritualism--Periodicals.
New Hampshire Journal of Education,Manchester,NH,1/1/1857,12/1/1862,English,Education--New Hampshire--Periodicals.
"New Hampshire Journal of Medicine, The",Concord,NH,1/1/1853,12/1/1858,English,Medicine--Periodicals.
"New Hampshire Ph?nix: A State Temperance, Educational and News Journal",Concord,NH,5/27/1854,11/3/1855,English,Temperance periodicals.Education periodicals.
New Hampton Reporter,New Hampton,NH,7/1/1859,7/1/1859,English,Student periodicals.
"New Jersey Farmer, The",Trenton,NJ,8/1/1861,8/1/1861,English,Agriculture--Periodicals.
"New Jerusalem Magazine, The",Boston,MA,7/1/1856,12/1/1865,English,Religious periodicals.
"New Jerusalem Messenger, The",New York,NY,3/29/1856,8/19/1865,English,Religious periodicals.
"New Nation, The",New York,NY,3/5/1864,9/2/1865,English,Military periodicals.
New Orleans Christian Advocate.,New Orleans,LA,4/8/1854,4/8/1854,English,Religious periodicals.
"New Orleans Medical and Surgical Journal, The",New Orleans,LA,5/1/1854,5/1/1854,English,Medical periodicals.
"New Path, The",New York,NY,5/1/1863,12/1/1865,English,Art--Periodicals.
"New Republic, The",Cleveland,OH,4/5/1862,10/11/1862,English,Socialism--Periodicals.Spiritualism--Periodicals.
"New Western, The",Cincinnati,OH,1/1/1855,1/1/1855,English,Literary periodicals.
